Course_attendance,Course_content,Course_level,Course_name,
,,,,
1263,快速入闿MAYA场景设置,入门,《MAYA-场景设置?,
558,Vray For Maya基础教学,入门,《MAYA-Vary 渲染?,
2826,制定好的测试计划，让测试工作更高效?初级,高效测试计划实战,,
,,,,
2681,轻松入门虚幻引擎 UE4,入门,UE4 基础入门教程,
,,,,
1353,Maya材质制作基础命令详解，并快速入门Maya材质制作,入门,MAYA-材质基础入门,
,,,,
2164,综合运用C4D知识，完成案例实践，提升设计技能！,初级,C4D创意字母教程,
,,,,
16112,做为爬虫工程师Python Scrapy主流爬虫框架你必须要会！,初级,Python最火爬虫框架Scrapy入门与实跿,
3018,根据老师所讲步骤一步一步学会四足动画的创建,入门,MAYA四足动画,
,,,,
2168,Unity 组件Transform控制游戏对象,初级,Unity 3D基础之变体Transform,
,,,,
11265,想要了解商品推荐背后的原理吗，课程将手把手带你做一个推荐系统！,中级,推荐算法理论与实跿,
5092,本课程主要介绍Android与WebView的js交互、如何使用Chrome调试?中级,Android与WebView的js交互,,
,,,,
5741,"重新定义了未来十年基础设施承载云原生应用的形式,最为火爆的平台技术?,中级,Kubernetes基础：开启云原生之门

932,了解CoreAnimation框架，掌握CALayer绘制实现方式?中级,Swift之基于CALayer的图形绘刿
3283,介绍Retrofit网络框架及其使用，并使用Retrofit完成用户登录案例?初级,Retrofit网络庿
6617,零基础学习UiAutomator 2.0自动化测诿学会编写 Android 自动化测试用便",入门,Android UiAutomator 2.0 入门实战,
,,,,
1685,结合实际Demo演示并讲解加速度传感器及角速度传感器！,高级,iOS开发之传感噿,
6248,课程带你通过一个真实的线上日志监控系统学习Golang以及并发的编程思想?中级,Go并发编程案例解析,,
,,,,
751,MAYA?017NURBS曲线以及曲面工具的介绿入门,MAYA- NURBS曲线建模,,
,,,,
5771,"mobx框架基础入门,使用mobx做状态管琿,入门,mobx入门基础教程

8684,区块链自己动手实现一把，啥都明白了?初级,用GO语言构建自己的区块链

2847,Crontab不知疲倦的时间衿初级,Crontab不知疲倦的时间衿
10203,利用Jenkins实现测试环境的一键自动化部署?入门,用Jenkins自动化搭建测试环墿
9401,react综合案例操作，技能掌握更纯熟,高级,React知识点综合运用实便
44266,快速理解Vue编程理念上手Vue2.0开发?中级,vue2.5入门

2550,C4D，设计师进军三维视界的必备技胿入门,C4D基础入门案例

2780,介绍APP中刷新和加载数据的解决方案，以及PullToRefresh框架如何使用,初级,PullToRefresh

13490,带领大家实现一个网站的上线流程?中级,项目上线流程

19448,从零入门Shiro安全框架,中级,Shiro安全框架入门

74445,带你入门微信小程序开发，了解微信小程序的基本知识?中级,入门微信小程序开叿
5792,掌握Maya动画基础操作命令并制作简单的动画飞机飞行,初级,MAYA动画入门诿飞机飞行

18562,带你从零开始做一个前端开源项目，创建 github 主页、npm 主页和官网?高级,从零做一个前端开源项盿
5977,从底层存储架构分析HBase存储数据的原琿高级,HBase 存储原理剖析

1274,掌握LeanCloud无须单独为应用开发后台?中级,iOS开发之LeanCloud

8663,本堂课讲解一个促销活动类电商banner的设计方法?入门,电商banner设计制作

12677,实例驱动的Java 9平台模块系统实战开叿初级,Java9之模块系绿
5542,U3D制作扑克翻牌消除小游房玩法类似连连看，快来一起开发吧＿",中级,Unity 3D 翻牌游戏开叿,
6629,TensorFlow和flask结合识别自己的手写体数字,中级,TensorFlow与Flask结合打造手写体数字识别,
,,,,
1328,熟练使用 Polygon多边形建模命令，并能动手制作简单的多边形模垿入门,MAYA-Polygon多边形建樿,,
15253,掌握python进行线性回归分析的原理及编程实跿初级,Python实现线性回彿,,
3033,本套课程针对零基础学员，帮助学员快速了解Maya轻松入门,入门,MAYA-2017初识与基础操作,
,,,,
2876,学习建模工具，初探建模流程?初级,C4D化妆品套装建樿,,
5100,Ruff物联网应用开发入闿初级,Ruff物联网应用开发入闿,,
3138,了解HTTP发展历程，熟悉网络工作流程！,初级,iOS开发之网络协议,
,,,,
17901,Go编译的程序可以媲美C或C++代码的速度，更加安全、支持并行进稿入门,GO语言语法入门篿,,
2579,"带你综合运用C4D基础知识，完成案例实跿
，让你的设计升个维度＿,初级,C4D创意M字母教程

5331,面向初级架构师介绍AWS，帮助你的项目做初期的云平台选择?初级,AWS的入门与使用

1345,二十分钟学懂maya贴图制作流程,入门,MAYA-贴图基础

10358,从入门开始学习完全开源的MySQL高可用性解决方案PXC集群,入门,MySQL集群（PXC）入闿
8308,移动端音视频开发必备基础知识,初级,移动端音频视频入闿
41016,SpringBoot 极简开发的框架整合利器,中级,SpringBoot开发常用技术整吿
7336,带你了解如何监听事件以及指定事件处理器的知识,高级,React响应用户输入

3245,带你了解C4D中常用的工具的使用，让你的设计升个维度！,入门,C4D零基础入门（下＿
37205,用最通俗、形象的方法描述ES6的强大并教会你正确的学习方法?初级,ES6快速入闿
6827,页面元素高级定位方式","在不同的浏览器上查看元素，Xpath，CSS定位""",初级,web端功能自动化定位元素
,,,,
2204,C4D初期低面多边形建樿初级,C4D地面多边形建樿,,
